Frame,Sub Frame,"Position - Limo_02",,,"Position - Limo_04",,,"Rotation (Helical) - Limo_02",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","TX","TY","TZ","RX","RY","RZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","°","°","°","°","°","°"
1,0,"-822.912","-864.101","144.799","87.0446","29.8339","141.16","0.825843","-1.63828","183.746","2.41151","-2.30289","183.297"
2,0,"-822.938","-864.13","144.789","87.0085","29.7432","141.211","0.824628","-1.61243","183.742","2.39325","-2.21112","183.28"
3,0,"-822.927","-864.128","144.799","87.0038","29.7582","141.191","0.827199","-1.60263","183.739","2.41234","-2.26113","183.26"
4,0,"-822.906","-864.065","144.794","87.0496","29.9856","141.098","0.827705","-1.63106","183.759","2.45726","-2.47502","183.335"
5,0,"-822.898","-864.081","144.79","86.9568","29.7083","141.162","0.812805","-1.62584","183.746","2.42118","-2.26253","183.247"
6,0,"-822.913","-864.122","144.805","87.0561","29.9867","141.119","0.813808","-1.6133","183.746","2.43969","-2.43892","183.335"
7,0,"-822.891","-864.103","144.782","86.9905","29.7967","141.198","0.836394","-1.67126","183.742","2.39028","-2.25573","183.288"
8,0,"-822.902","-864.088","144.784","86.9886","29.9665","141.084","0.840106","-1.64586","183.75","2.47724","-2.47159","183.323"
9,0,"-822.896","-864.116","144.797","87.0413","30.0103","141.1","0.832149","-1.62673","183.739","2.4559","-2.48068","183.334"
10,0,"-822.928","-864.121","144.802","87.0324","29.9592","141.099","0.827478","-1.64924","183.749","2.44912","-2.42482","183.331"
11,0,"-822.908","-864.095","144.8","86.96","29.6932","141.209","0.822583","-1.62971","183.747","2.40648","-2.21486","183.251"
12,0,"-822.919","-864.091","144.811","86.9558","29.6147","141.251","0.828556","-1.66451","183.761","2.37287","-2.09813","183.216"
13,0,"-822.911","-864.108","144.766","87.0324","29.8443","141.125","0.845844","-1.63842","183.742","2.43616","-2.37639","183.294"
14,0,"-822.927","-864.126","144.791","87.0181","29.7355","141.201","0.833318","-1.63597","183.741","2.37653","-2.21036","183.273"
15,0,"-822.901","-864.087","144.797","86.9878","29.7427","141.19","0.822877","-1.6408","183.745","2.41048","-2.28902","183.264"
16,0,"-822.918","-864.126","144.796","87.0142","29.8714","141.117","0.836578","-1.63989","183.737","2.4367","-2.39682","183.301"
17,0,"-822.929","-864.14","144.763","87.0427","29.956","141.113","0.857786","-1.63663","183.741","2.46126","-2.41188","183.313"
18,0,"-822.93","-864.124","144.822","87.0054","29.8421","141.182","0.818587","-1.61741","183.746","2.42214","-2.32632","183.304"
19,0,"-822.9","-864.102","144.783","87.0166","29.9349","141.092","0.858914","-1.70429","183.75","2.45794","-2.44988","183.33"
20,0,"-822.909","-864.11","144.786","87.0363","30.0179","141.077","0.8402","-1.65448","183.745","2.46427","-2.51136","183.331"
21,0,"-822.898","-864.106","144.796","87.0068","29.86","141.113","0.817564","-1.58932","183.747","2.45403","-2.42602","183.293"
22,0,"-822.912","-864.133","144.801","86.9918","29.7856","141.178","0.836702","-1.64675","183.74","2.41625","-2.29104","183.283"
23,0,"-822.902","-864.118","144.787","86.9869","29.7613","141.161","0.840784","-1.64395","183.732","2.43328","-2.27709","183.266"
24,0,"-822.915","-864.132","144.792","87.0071","29.7631","141.163","0.840643","-1.63266","183.738","2.4234","-2.27952","183.268"
25,0,"-822.907","-864.106","144.796","87.0537","29.98","141.092","0.845824","-1.67213","183.748","2.46908","-2.49317","183.333"
26,0,"-822.95","-864.171","144.781","87.001","29.7236","141.187","0.887139","-1.76323","183.702","2.40546","-2.23186","183.268"
27,0,"-823.054","-864.336","144.766","87.0086","29.7197","141.205","0.96537","-2.04561","183.573","2.40296","-2.20193","183.245"
28,0,"-822.797","-864.141","144.604","87.0263","29.8931","141.107","1.24819","-2.25286","183.668","2.44805","-2.41948","183.314"
29,0,"-822.8","-864.159","144.58","87.0129","29.7908","141.161","1.26244","-2.29976","183.668","2.40701","-2.26544","183.301"
30,0,"-822.797","-864.155","144.597","87.0405","29.9634","141.102","1.24032","-2.23185","183.662","2.44636","-2.41589","183.334"
31,0,"-822.781","-864.155","144.596","87.0416","29.9276","141.121","1.25642","-2.28219","183.665","2.44862","-2.43325","183.312"
32,0,"-822.792","-864.191","144.579","87.0854","29.9757","141.145","1.24213","-2.25599","183.653","2.40563","-2.34772","183.357"
33,0,"-822.763","-864.164","144.591","87.0394","29.7225","141.217","1.24072","-2.22017","183.66","2.34804","-2.14101","183.279"
34,0,"-822.769","-864.173","144.587","87.0682","30.0209","141.276","1.24957","-2.24166","183.66","2.33499","-2.18591","183.351"
35,0,"-822.769","-864.149","144.6","87.2792","30.0058","141.36","1.23179","-2.24039","183.675","2.69161","-1.97744","183.316"
36,0,"-822.783","-864.17","144.594","87.3972","29.8259","141.439","1.2544","-2.24353","183.667","2.80136","-1.75736","183.263"
37,0,"-822.804","-864.175","144.608","87.4797","30.1773","141.303","1.24209","-2.1952","183.67","2.87187","-2.10621","183.364"
38,0,"-822.791","-864.158","144.606","87.4556","29.9413","141.417","1.2239","-2.22214","183.678","2.81142","-1.80755","183.288"
39,0,"-822.804","-864.145","144.628","87.4162","29.963","141.416","1.20153","-2.19406","183.686","2.81567","-1.85816","183.301"
40,0,"-822.8","-864.116","144.624","87.4349","29.9266","141.423","1.15748","-2.10904","183.682","2.80649","-1.82623","183.28"
41,0,"-822.841","-864.136","144.642","87.4316","29.9246","141.417","1.14652","-2.11582","183.696","2.80428","-1.81269","183.288"
