Frame,Sub Frame,"Position - Limo_04",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
1,0,"48.961","26.239","145.027","-0.00104138","-0.388954","180.762"
2,0,"48.8775","26.3712","145.091","0.0290252","-0.345824","180.659"
3,0,"48.9036","26.2149","145.1","0.000433692","-0.213961","180.636"
4,0,"48.894","26.3885","145.116","0.00277942","-0.449356","180.673"
5,0,"48.866","26.3903","145.11","0.0163167","-0.479318","180.66"
6,0,"48.9236","26.3785","145.15","-0.0158224","-0.418299","180.669"
7,0,"48.8794","26.2019","144.934","0.00758708","-0.187925","180.769"
8,0,"48.9061","26.1937","144.96","0.000173568","-0.221129","180.749"
9,0,"48.9151","26.1339","145.053","-0.0406498","-0.166345","180.734"
10,0,"48.8666","26.4291","144.993","0.0792907","-0.408136","180.702"
11,0,"48.8715","26.0986","144.898","0.035256","-0.101288","180.591"
12,0,"48.9867","26.2246","145.064","-0.0205738","-0.32261","180.729"
13,0,"48.9294","26.4322","145.273","-0.0514919","-0.457955","180.674"
14,0,"48.9055","26.3602","145.107","-0.051382","-0.435379","180.758"
15,0,"48.8863","26.2081","145.018","0.0382398","-0.248896","180.751"
16,0,"48.9293","26.1359","145.146","-0.0741964","-0.0761567","180.749"
17,0,"48.8606","26.3564","144.98","0.121904","-0.537453","180.638"
18,0,"48.9215","26.3399","145.264","-0.042528","-0.144829","180.708"
19,0,"48.8693","26.3254","145.072","0.00686306","-0.322353","180.636"
20,0,"48.8828","25.9968","145.091","0.0240761","0.0907398","180.619"
21,0,"48.9689","26.2797","145.257","-0.0737367","-0.240463","180.688"
22,0,"48.91","26.3274","144.994","0.0413941","-0.432313","180.791"
23,0,"48.9141","26.3388","145.15","0.00841275","-0.277716","180.677"
24,0,"48.8632","26.1041","144.919","0.0851829","-0.189099","180.599"
25,0,"48.8834","26.1788","144.994","0.058539","-0.0436478","180.649"
26,0,"48.9688","26.4784","145.201","-0.0102884","-0.552019","180.695"
27,0,"48.8703","26.5162","145.046","0.034895","-0.437054","180.708"
28,0,"48.8952","26.4009","145.095","0.00708418","-0.448452","180.658"
29,0,"48.9406","26.282","145.229","-0.0152266","-0.192709","180.693"
30,0,"48.9361","26.1544","145.084","-0.0412519","-0.240073","180.716"
31,0,"48.8184","26.3427","144.98","0.0386993","-0.308278","180.638"
