"Step","dqn - train/reward_mean","dqn - train/reward_mean__MIN","dqn - train/reward_mean__MAX"
"1","-81.31784233544022","-81.31784233544022","-81.31784233544022"
"2","-65.4529693685472","-65.4529693685472","-65.4529693685472"
"3","-58.760808072829","-58.760808072829","-58.760808072829"
"4","-56.855288020684384","-56.855288020684384","-56.855288020684384"
"5","-66.08769309138879","-66.08769309138879","-66.08769309138879"
"6","-71.41285302016574","-71.41285302016574","-71.41285302016574"
"7","-68.26539003656113","-68.26539003656113","-68.26539003656113"
"8","-65.65637402900029","-65.65637402900029","-65.65637402900029"
"9","-64.0751897890845","-64.0751897890845","-64.0751897890845"
"10","-67.36032736883499","-67.36032736883499","-67.36032736883499"
"11","-65.4767833345739","-65.4767833345739","-65.4767833345739"
"12","-66.97685937067338","-66.97685937067338","-66.97685937067338"
"13","-68.10977821592958","-68.10977821592958","-68.10977821592958"
"14","-66.70199578425049","-66.70199578425049","-66.70199578425049"
"15","-65.44124960126355","-65.44124960126355","-65.44124960126355"
"16","-68.20950108589022","-68.20950108589022","-68.20950108589022"
"17","-66.9458932825912","-66.9458932825912","-66.9458932825912"
"18","-69.19743955670856","-69.19743955670856","-69.19743955670856"
"19","-70.44648367955692","-70.44648367955692","-70.44648367955692"
"20","-69.48189371654298","-69.48189371654298","-69.48189371654298"
"21","-70.17023903071615","-70.17023903071615","-70.17023903071615"
"22","-72.00228846576911","-72.00228846576911","-72.00228846576911"
"23","-73.10616871143651","-73.10616871143651","-73.10616871143651"
"24","-73.52957468638972","-73.52957468638972","-73.52957468638972"
"25","-74.79303682669997","-74.79303682669997","-74.79303682669997"
"26","-75.58748097488514","-75.58748097488514","-75.58748097488514"
"27","-74.38108073968303","-74.38108073968303","-74.38108073968303"
"28","-73.4599633459667","-73.4599633459667","-73.4599633459667"
"29","-74.05204015006792","-74.05204015006792","-74.05204015006792"
"30","-75.3183505708507","-75.3183505708507","-75.3183505708507"
"31","-74.45568312755636","-74.45568312755636","-74.45568312755636"
"32","-73.5087360018806","-73.5087360018806","-73.5087360018806"
"33","-73.72923974131206","-73.72923974131206","-73.72923974131206"
"34","-72.90303706606467","-72.90303706606467","-72.90303706606467"
"35","-73.29234293411885","-73.29234293411885","-73.29234293411885"
"36","-73.68063048252628","-73.68063048252628","-73.68063048252628"
"37","-73.96465611256458","-73.96465611256458","-73.96465611256458"
"38","-74.26786488860748","-74.26786488860748","-74.26786488860748"
