"train/episode","td3 - train/success_rate","td3 - train/success_rate__MIN","td3 - train/success_rate__MAX","td3 - _step","td3 - _step__MIN","td3 - _step__MAX"
"1","0","0","0","1","1","1"
"2","0","0","0","2","2","2"
"3","0","0","0","3","3","3"
"4","0","0","0","4","4","4"
"5","0","0","0","5","5","5"
"6","0","0","0","6","6","6"
"7","0","0","0","7","7","7"
"8","0","0","0","8","8","8"
"9","0","0","0","9","9","9"
"10","0","0","0","10","10","10"
"11","0.09090909090909091","0.09090909090909091","0.09090909090909091","11","11","11"
"12","0.16666666666666666","0.16666666666666666","0.16666666666666666","12","12","12"
"13","0.15384615384615385","0.15384615384615385","0.15384615384615385","13","13","13"
"14","0.21428571428571427","0.21428571428571427","0.21428571428571427","14","14","14"
"15","0.26666666666666666","0.26666666666666666","0.26666666666666666","15","15","15"
"16","0.3125","0.3125","0.3125","16","16","16"
"17","0.35294117647058826","0.35294117647058826","0.35294117647058826","17","17","17"
"18","0.3888888888888889","0.3888888888888889","0.3888888888888889","18","18","18"
"19","0.42105263157894735","0.42105263157894735","0.42105263157894735","19","19","19"
"20","0.45","0.45","0.45","20","20","20"
"21","0.42857142857142855","0.42857142857142855","0.42857142857142855","21","21","21"
"22","0.4090909090909091","0.4090909090909091","0.4090909090909091","22","22","22"
"23","0.391304347826087","0.391304347826087","0.391304347826087","23","23","23"
"24","0.375","0.375","0.375","24","24","24"
"25","0.36","0.36","0.36","25","25","25"
"26","0.34615384615384615","0.34615384615384615","0.34615384615384615","26","26","26"
"27","0.3333333333333333","0.3333333333333333","0.3333333333333333","27","27","27"
"28","0.32142857142857145","0.32142857142857145","0.32142857142857145","28","28","28"
"29","0.3103448275862069","0.3103448275862069","0.3103448275862069","29","29","29"
"30","0.3","0.3","0.3","30","30","30"
"31","0.2903225806451613","0.2903225806451613","0.2903225806451613","31","31","31"
"32","0.28125","0.28125","0.28125","32","32","32"
"33","0.2727272727272727","0.2727272727272727","0.2727272727272727","33","33","33"
"34","0.2647058823529412","0.2647058823529412","0.2647058823529412","34","34","34"
"35","0.2571428571428571","0.2571428571428571","0.2571428571428571","35","35","35"
"36","0.25","0.25","0.25","36","36","36"
"37","0.24324324324324326","0.24324324324324326","0.24324324324324326","37","37","37"
"38","0.23684210526315788","0.23684210526315788","0.23684210526315788","38","38","38"
"39","0.23076923076923078","0.23076923076923078","0.23076923076923078","39","39","39"
"40","0.225","0.225","0.225","40","40","40"
"41","0.21951219512195122","0.21951219512195122","0.21951219512195122","41","41","41"
"42","0.21428571428571427","0.21428571428571427","0.21428571428571427","42","42","42"
"43","0.20930232558139536","0.20930232558139536","0.20930232558139536","43","43","43"
"44","0.20454545454545456","0.20454545454545456","0.20454545454545456","44","44","44"
"45","0.2","0.2","0.2","45","45","45"
"46","0.1956521739130435","0.1956521739130435","0.1956521739130435","46","46","46"
"47","0.19148936170212766","0.19148936170212766","0.19148936170212766","47","47","47"
"48","0.1875","0.1875","0.1875","48","48","48"
"49","0.1836734693877551","0.1836734693877551","0.1836734693877551","49","49","49"
"50","0.18","0.18","0.18","50","50","50"
"51","0.17647058823529413","0.17647058823529413","0.17647058823529413","51","51","51"
"52","0.17307692307692307","0.17307692307692307","0.17307692307692307","52","52","52"
"53","0.16981132075471697","0.16981132075471697","0.16981132075471697","53","53","53"
"54","0.16666666666666666","0.16666666666666666","0.16666666666666666","54","54","54"
"55","0.18181818181818182","0.18181818181818182","0.18181818181818182","55","55","55"
"56","0.19642857142857142","0.19642857142857142","0.19642857142857142","56","56","56"
"57","0.19298245614035087","0.19298245614035087","0.19298245614035087","57","57","57"
"58","0.1896551724137931","0.1896551724137931","0.1896551724137931","58","58","58"
"59","0.1864406779661017","0.1864406779661017","0.1864406779661017","59","59","59"
"60","0.18333333333333332","0.18333333333333332","0.18333333333333332","60","60","60"
"61","0.18032786885245902","0.18032786885245902","0.18032786885245902","61","61","61"
"62","0.1774193548387097","0.1774193548387097","0.1774193548387097","62","62","62"
"63","0.1746031746031746","0.1746031746031746","0.1746031746031746","63","63","63"
"64","0.171875","0.171875","0.171875","64","64","64"
"65","0.18461538461538463","0.18461538461538463","0.18461538461538463","65","65","65"
"66","0.18181818181818182","0.18181818181818182","0.18181818181818182","66","66","66"
"67","0.1791044776119403","0.1791044776119403","0.1791044776119403","67","67","67"
"68","0.17647058823529413","0.17647058823529413","0.17647058823529413","68","68","68"
"69","0.17391304347826086","0.17391304347826086","0.17391304347826086","69","69","69"
"70","0.17142857142857143","0.17142857142857143","0.17142857142857143","70","70","70"
"71","0.16901408450704225","0.16901408450704225","0.16901408450704225","71","71","71"
"72","0.16666666666666666","0.16666666666666666","0.16666666666666666","72","72","72"
"73","0.1643835616438356","0.1643835616438356","0.1643835616438356","73","73","73"
"74","0.16216216216216217","0.16216216216216217","0.16216216216216217","74","74","74"
"75","0.16","0.16","0.16","75","75","75"
"76","0.15789473684210525","0.15789473684210525","0.15789473684210525","76","76","76"
"77","0.15584415584415584","0.15584415584415584","0.15584415584415584","77","77","77"
"78","0.15384615384615385","0.15384615384615385","0.15384615384615385","78","78","78"
"79","0.1518987341772152","0.1518987341772152","0.1518987341772152","79","79","79"
"80","0.1625","0.1625","0.1625","80","80","80"
"81","0.1728395061728395","0.1728395061728395","0.1728395061728395","81","81","81"
"82","0.18292682926829268","0.18292682926829268","0.18292682926829268","82","82","82"
"83","0.18072289156626506","0.18072289156626506","0.18072289156626506","83","83","83"
"84","0.17857142857142858","0.17857142857142858","0.17857142857142858","84","84","84"
"85","0.17647058823529413","0.17647058823529413","0.17647058823529413","85","85","85"
"86","0.1744186046511628","0.1744186046511628","0.1744186046511628","86","86","86"
"87","0.1724137931034483","0.1724137931034483","0.1724137931034483","87","87","87"
"88","0.17045454545454544","0.17045454545454544","0.17045454545454544","88","88","88"
"89","0.16853932584269662","0.16853932584269662","0.16853932584269662","89","89","89"
"90","0.16666666666666666","0.16666666666666666","0.16666666666666666","90","90","90"
"91","0.16483516483516483","0.16483516483516483","0.16483516483516483","91","91","91"
"92","0.16304347826086957","0.16304347826086957","0.16304347826086957","92","92","92"
"93","0.16129032258064516","0.16129032258064516","0.16129032258064516","93","93","93"
"94","0.1595744680851064","0.1595744680851064","0.1595744680851064","94","94","94"
"95","0.15789473684210525","0.15789473684210525","0.15789473684210525","95","95","95"
"96","0.15625","0.15625","0.15625","96","96","96"
"97","0.15463917525773196","0.15463917525773196","0.15463917525773196","97","97","97"
"98","0.15306122448979592","0.15306122448979592","0.15306122448979592","98","98","98"
"99","0.15151515151515152","0.15151515151515152","0.15151515151515152","99","99","99"
"100","0.15","0.15","0.15","100","100","100"
"101","0.15","0.15","0.15","101","101","101"
"102","0.15","0.15","0.15","102","102","102"
"103","0.15","0.15","0.15","103","103","103"
"104","0.15","0.15","0.15","104","104","104"
"105","0.15","0.15","0.15","105","105","105"
"106","0.15","0.15","0.15","106","106","106"
"107","0.15","0.15","0.15","107","107","107"
"108","0.15","0.15","0.15","108","108","108"
"109","0.15","0.15","0.15","109","109","109"
"110","0.15","0.15","0.15","110","110","110"
"111","0.14","0.14","0.14","111","111","111"
"112","0.13","0.13","0.13","112","112","112"
"113","0.13","0.13","0.13","113","113","113"
"114","0.12","0.12","0.12","114","114","114"
"115","0.11","0.11","0.11","115","115","115"
"116","0.1","0.1","0.1","116","116","116"
"117","0.09","0.09","0.09","117","117","117"
"118","0.08","0.08","0.08","118","118","118"
"119","0.07","0.07","0.07","119","119","119"
"120","0.06","0.06","0.06","120","120","120"
"121","0.06","0.06","0.06","121","121","121"
"122","0.06","0.06","0.06","122","122","122"
"123","0.06","0.06","0.06","123","123","123"
"124","0.06","0.06","0.06","124","124","124"
"125","0.06","0.06","0.06","125","125","125"
"126","0.06","0.06","0.06","126","126","126"
"127","0.06","0.06","0.06","127","127","127"
"128","0.06","0.06","0.06","128","128","128"
"129","0.06","0.06","0.06","129","129","129"
"130","0.06","0.06","0.06","130","130","130"
"131","0.06","0.06","0.06","131","131","131"
"132","0.06","0.06","0.06","132","132","132"
"133","0.06","0.06","0.06","133","133","133"
"134","0.06","0.06","0.06","134","134","134"
"135","0.06","0.06","0.06","135","135","135"
"136","0.06","0.06","0.06","136","136","136"
"137","0.06","0.06","0.06","137","137","137"
"138","0.06","0.06","0.06","138","138","138"
"139","0.06","0.06","0.06","139","139","139"
"140","0.06","0.06","0.06","140","140","140"
"141","0.06","0.06","0.06","141","141","141"
"142","0.06","0.06","0.06","142","142","142"
"143","0.06","0.06","0.06","143","143","143"
"144","0.06","0.06","0.06","144","144","144"
"145","0.06","0.06","0.06","145","145","145"
"146","0.06","0.06","0.06","146","146","146"
"147","0.06","0.06","0.06","147","147","147"
"148","0.06","0.06","0.06","148","148","148"
"149","0.06","0.06","0.06","149","149","149"
"150","0.06","0.06","0.06","150","150","150"
"151","0.06","0.06","0.06","151","151","151"
"152","0.06","0.06","0.06","152","152","152"
"153","0.06","0.06","0.06","153","153","153"
"154","0.06","0.06","0.06","154","154","154"
"155","0.05","0.05","0.05","155","155","155"
"156","0.04","0.04","0.04","156","156","156"
"157","0.04","0.04","0.04","157","157","157"
"158","0.04","0.04","0.04","158","158","158"
"159","0.04","0.04","0.04","159","159","159"
"160","0.04","0.04","0.04","160","160","160"
"161","0.04","0.04","0.04","161","161","161"
"162","0.04","0.04","0.04","162","162","162"
"163","0.04","0.04","0.04","163","163","163"
"164","0.04","0.04","0.04","164","164","164"
"165","0.03","0.03","0.03","165","165","165"
"166","0.03","0.03","0.03","166","166","166"
"167","0.03","0.03","0.03","167","167","167"
"168","0.03","0.03","0.03","168","168","168"
"169","0.03","0.03","0.03","169","169","169"
"170","0.03","0.03","0.03","170","170","170"
"171","0.03","0.03","0.03","171","171","171"
"172","0.03","0.03","0.03","172","172","172"
"173","0.03","0.03","0.03","173","173","173"
"174","0.03","0.03","0.03","174","174","174"
"175","0.03","0.03","0.03","175","175","175"
"176","0.03","0.03","0.03","176","176","176"
"177","0.03","0.03","0.03","177","177","177"
"178","0.03","0.03","0.03","178","178","178"
"179","0.03","0.03","0.03","179","179","179"
"180","0.02","0.02","0.02","180","180","180"
"181","0.01","0.01","0.01","181","181","181"
"182","0","0","0","182","182","182"
"183","0","0","0","183","183","183"
"184","0","0","0","184","184","184"
"185","0","0","0","185","185","185"
"186","0","0","0","186","186","186"
"187","0","0","0","187","187","187"
"188","0","0","0","188","188","188"
"189","0","0","0","189","189","189"
"190","0","0","0","190","190","190"
"191","0","0","0","191","191","191"
"192","0","0","0","192","192","192"
"193","0","0","0","193","193","193"
"194","0","0","0","194","194","194"
"195","0","0","0","195","195","195"
"196","0","0","0","196","196","196"
"197","0","0","0","197","197","197"
"198","0","0","0","198","198","198"
"199","0","0","0","199","199","199"
"200","0","0","0","200","200","200"
"201","0","0","0","201","201","201"
"202","0","0","0","202","202","202"
"203","0","0","0","203","203","203"
"204","0","0","0","204","204","204"
"205","0","0","0","205","205","205"
"206","0","0","0","206","206","206"
"207","0","0","0","207","207","207"
"208","0","0","0","208","208","208"
"209","0","0","0","209","209","209"
"210","0","0","0","210","210","210"
"211","0","0","0","211","211","211"
"212","0","0","0","212","212","212"
"213","0","0","0","213","213","213"
"214","0","0","0","214","214","214"
"215","0","0","0","215","215","215"
"216","0","0","0","216","216","216"
"217","0","0","0","217","217","217"
"218","0","0","0","218","218","218"
"219","0","0","0","219","219","219"
"220","0","0","0","220","220","220"
"221","0","0","0","221","221","221"
"222","0","0","0","222","222","222"
"223","0","0","0","223","223","223"
"224","0","0","0","224","224","224"
"225","0","0","0","225","225","225"
"226","0","0","0","226","226","226"
"227","0","0","0","227","227","227"
"228","0","0","0","228","228","228"
"229","0","0","0","229","229","229"
"230","0","0","0","230","230","230"
"231","0","0","0","231","231","231"
"232","0","0","0","232","232","232"
"233","0","0","0","233","233","233"
"234","0","0","0","234","234","234"
"235","0","0","0","235","235","235"
"236","0","0","0","236","236","236"
"237","0","0","0","237","237","237"
"238","0","0","0","238","238","238"
"239","0","0","0","239","239","239"
"240","0","0","0","240","240","240"
"241","0","0","0","241","241","241"
"242","0","0","0","242","242","242"
"243","0","0","0","243","243","243"
"244","0","0","0","244","244","244"
"245","0","0","0","245","245","245"
"246","0","0","0","246","246","246"
"247","0","0","0","247","247","247"
"248","0","0","0","248","248","248"
"249","0","0","0","249","249","249"
"250","0","0","0","250","250","250"
"251","0","0","0","251","251","251"
"252","0","0","0","252","252","252"
"253","0","0","0","253","253","253"
"254","0","0","0","254","254","254"
"255","0","0","0","255","255","255"
"256","0","0","0","256","256","256"
"257","0","0","0","257","257","257"
"258","0","0","0","258","258","258"
"259","0","0","0","259","259","259"
"260","0","0","0","260","260","260"
"261","0","0","0","261","261","261"
"262","0","0","0","262","262","262"
"263","0","0","0","263","263","263"
"264","0","0","0","264","264","264"
"265","0","0","0","265","265","265"
"266","0","0","0","266","266","266"
"267","0","0","0","267","267","267"
"268","0","0","0","268","268","268"
"269","0","0","0","269","269","269"
"270","0","0","0","270","270","270"
"271","0","0","0","271","271","271"
"272","0","0","0","272","272","272"
"273","0","0","0","273","273","273"
"274","0","0","0","274","274","274"
"275","0","0","0","275","275","275"
"276","0","0","0","276","276","276"
"277","0","0","0","277","277","277"
"278","0","0","0","278","278","278"
"279","0","0","0","279","279","279"
"280","0","0","0","280","280","280"
"281","0","0","0","281","281","281"
"282","0","0","0","282","282","282"
"283","0","0","0","283","283","283"
"284","0","0","0","284","284","284"
"285","0","0","0","285","285","285"
"286","0","0","0","286","286","286"
"287","0","0","0","287","287","287"
"288","0","0","0","288","288","288"
"289","0","0","0","289","289","289"
"290","0","0","0","290","290","290"
"291","0","0","0","291","291","291"
"292","0","0","0","292","292","292"
"293","0","0","0","293","293","293"
"294","0","0","0","294","294","294"
"295","0","0","0","295","295","295"
"296","0","0","0","296","296","296"
"297","0","0","0","297","297","297"
"298","0","0","0","298","298","298"
"299","0","0","0","299","299","299"
"300","0","0","0","300","300","300"
"301","0","0","0","301","301","301"
"302","0","0","0","302","302","302"
"303","0","0","0","303","303","303"
"304","0","0","0","304","304","304"
"305","0","0","0","305","305","305"
"306","0","0","0","306","306","306"
"307","0","0","0","307","307","307"
"308","0","0","0","308","308","308"
"309","0","0","0","309","309","309"
"310","0","0","0","310","310","310"
"311","0","0","0","311","311","311"
"312","0","0","0","312","312","312"
"313","0","0","0","313","313","313"
"314","0","0","0","314","314","314"
"315","0","0","0","315","315","315"
"316","0","0","0","316","316","316"
"317","0","0","0","317","317","317"
"318","0","0","0","318","318","318"
"319","0","0","0","319","319","319"
"320","0","0","0","320","320","320"
"321","0","0","0","321","321","321"
"322","0","0","0","322","322","322"
"323","0","0","0","323","323","323"
"324","0","0","0","324","324","324"
"325","0","0","0","325","325","325"
"326","0","0","0","326","326","326"
