"Step","sac - train/reward_mean","sac - train/reward_mean__MIN","sac - train/reward_mean__MAX"
"1","40.992594265553635","40.992594265553635","40.992594265553635"
"2","41.41946570624714","41.41946570624714","41.41946570624714"
"3","38.46803089202149","38.46803089202149","38.46803089202149"
"4","37.74792842585612","37.74792842585612","37.74792842585612"
"5","34.09805494415123","34.09805494415123","34.09805494415123"
"6","35.122475705641286","35.122475705641286","35.122475705641286"
"7","33.87547166701084","33.87547166701084","33.87547166701084"
"8","34.75591594390289","34.75591594390289","34.75591594390289"
"9","24.9366078980242","24.9366078980242","24.9366078980242"
"10","25.286129426949266","25.286129426949266","25.286129426949266"
"11","24.75887108920572","24.75887108920572","24.75887108920572"
"12","22.964454613513528","22.964454613513528","22.964454613513528"
"13","17.204703199286786","17.204703199286786","17.204703199286786"
"14","15.275794587467317","15.275794587467317","15.275794587467317"
"15","10.142728194814845","10.142728194814845","10.142728194814845"
"16","8.48609018150023","8.48609018150023","8.48609018150023"
"17","7.997767301436611","7.997767301436611","7.997767301436611"
"18","5.224444883250827","5.224444883250827","5.224444883250827"
"19","3.995428909272098","3.995428909272098","3.995428909272098"
"20","0.47571233182115974","0.47571233182115974","0.47571233182115974"
"21","-2.88707795449227","-2.88707795449227","-2.88707795449227"
"22","-5.934331889205913","-5.934331889205913","-5.934331889205913"
"23","-6.531838923012401","-6.531838923012401","-6.531838923012401"
"24","-7.593725408182915","-7.593725408182915","-7.593725408182915"
"25","-8.563074177694652","-8.563074177694652","-8.563074177694652"
"26","-9.683821228519333","-9.683821228519333","-9.683821228519333"
"27","-10.76179124080919","-10.76179124080919","-10.76179124080919"
"28","-11.683101944085966","-11.683101944085966","-11.683101944085966"
"29","-12.527747143460193","-12.527747143460193","-12.527747143460193"
"30","-13.390587087542418","-13.390587087542418","-13.390587087542418"
"31","-14.202272934314482","-14.202272934314482","-14.202272934314482"
"32","-13.322199337425966","-13.322199337425966","-13.322199337425966"
"33","-11.401874140596036","-11.401874140596036","-11.401874140596036"
"34","-12.105174844984887","-12.105174844984887","-12.105174844984887"
"35","-12.586000180015418","-12.586000180015418","-12.586000180015418"
"36","-11.758054568452035","-11.758054568452035","-11.758054568452035"
"37","-12.213673057506918","-12.213673057506918","-12.213673057506918"
"38","-12.685390012602566","-12.685390012602566","-12.685390012602566"
"39","-13.200788483376206","-13.200788483376206","-13.200788483376206"
"40","-12.604293532910614","-12.604293532910614","-12.604293532910614"
"41","-11.95753962418482","-11.95753962418482","-11.95753962418482"
"42","-11.41888442252029","-11.41888442252029","-11.41888442252029"
"43","-11.833948268420801","-11.833948268420801","-11.833948268420801"
"44","-11.922726752512357","-11.922726752512357","-11.922726752512357"
"45","-12.346518630590563","-12.346518630590563","-12.346518630590563"
"46","-13.831060143687989","-13.831060143687989","-13.831060143687989"
"47","-15.314678604173873","-15.314678604173873","-15.314678604173873"
"48","-16.747798218134037","-16.747798218134037","-16.747798218134037"
"49","-17.047018792531084","-17.047018792531084","-17.047018792531084"
"50","-17.482758151062548","-17.482758151062548","-17.482758151062548"
"51","-17.90784058657284","-17.90784058657284","-17.90784058657284"
"52","-18.23566551799893","-18.23566551799893","-18.23566551799893"
"53","-18.628210933327818","-18.628210933327818","-18.628210933327818"
"54","-19.107714390595348","-19.107714390595348","-19.107714390595348"
"55","-19.618718288240665","-19.618718288240665","-19.618718288240665"
"56","-20.104000282720545","-20.104000282720545","-20.104000282720545"
"57","-20.56583502284049","-20.56583502284049","-20.56583502284049"
"58","-20.949513080210245","-20.949513080210245","-20.949513080210245"
"59","-21.39779649290594","-21.39779649290594","-21.39779649290594"
"60","-21.740173032686243","-21.740173032686243","-21.740173032686243"
"61","-22.940333511343002","-22.940333511343002","-22.940333511343002"
"62","-24.25771899645918","-24.25771899645918","-24.25771899645918"
"63","-25.47875497871689","-25.47875497871689","-25.47875497871689"
"64","-26.364102342036247","-26.364102342036247","-26.364102342036247"
"65","-27.201355582519835","-27.201355582519835","-27.201355582519835"
"66","-28.027298938103176","-28.027298938103176","-28.027298938103176"
"67","-28.811991360498382","-28.811991360498382","-28.811991360498382"
"68","-29.573950171951136","-29.573950171951136","-29.573950171951136"
"69","-30.27640639635698","-30.27640639635698","-30.27640639635698"
"70","-30.86452048760284","-30.86452048760284","-30.86452048760284"
"71","-31.385954227765247","-31.385954227765247","-31.385954227765247"
"72","-32.08393503339558","-32.08393503339558","-32.08393503339558"
"73","-32.64931925281425","-32.64931925281425","-32.64931925281425"
"74","-33.17552535932966","-33.17552535932966","-33.17552535932966"
"75","-33.60134444232418","-33.60134444232418","-33.60134444232418"
"76","-34.06592230901456","-34.06592230901456","-34.06592230901456"
"77","-33.685839763929444","-33.685839763929444","-33.685839763929444"
"78","-33.35443455019244","-33.35443455019244","-33.35443455019244"
"79","-33.147498221869","-33.147498221869","-33.147498221869"
"80","-32.95181204167246","-32.95181204167246","-32.95181204167246"
"81","-32.84890822714905","-32.84890822714905","-32.84890822714905"
"82","-32.89122752775137","-32.89122752775137","-32.89122752775137"
"83","-32.85102780626103","-32.85102780626103","-32.85102780626103"
"84","-32.71142324176106","-32.71142324176106","-32.71142324176106"
"85","-32.68911604744815","-32.68911604744815","-32.68911604744815"
"86","-32.571529463096994","-32.571529463096994","-32.571529463096994"
"87","-32.527242529172796","-32.527242529172796","-32.527242529172796"
"88","-32.47578267424633","-32.47578267424633","-32.47578267424633"
"89","-32.45010170797086","-32.45010170797086","-32.45010170797086"
"90","-32.33094209130498","-32.33094209130498","-32.33094209130498"
"91","-32.29041163684765","-32.29041163684765","-32.29041163684765"
"92","-32.285272562014875","-32.285272562014875","-32.285272562014875"
"93","-32.27129275892681","-32.27129275892681","-32.27129275892681"
"94","-32.25285280367471","-32.25285280367471","-32.25285280367471"
"95","-32.17534572342795","-32.17534572342795","-32.17534572342795"
"96","-32.10260470258453","-32.10260470258453","-32.10260470258453"
"97","-31.998451461827255","-31.998451461827255","-31.998451461827255"
"98","-31.700550735908834","-31.700550735908834","-31.700550735908834"
