step,best_idx,offset,steer,free_ahead,speed
0,594,0.1000,0.0350,6.1189,4.0000
1,580,0.0741,0.0259,5.4487,2.8000
2,594,0.1000,0.0350,6.1416,4.0000
3,580,0.0741,0.0259,5.4713,2.8000
4,594,0.1000,0.0350,6.1499,4.0000
5,580,0.0741,0.0259,5.4741,2.8000
6,594,0.1000,0.0350,6.1451,4.0000
7,580,0.0741,0.0259,5.4693,2.8000
8,594,0.1000,0.0350,6.1100,4.0000
9,580,0.0741,0.0259,5.4496,2.8000
10,594,0.1000,0.0350,6.1076,4.0000
11,581,0.0759,0.0266,5.4472,2.8000
12,594,0.1000,0.0350,6.1184,4.0000
13,580,0.0741,0.0259,5.4668,2.8000
14,594,0.1000,0.0350,6.1351,4.0000
15,581,0.0759,0.0266,5.4780,2.8000
16,594,0.1000,0.0350,6.0906,4.0000
17,581,0.0759,0.0266,5.4452,2.8000
18,594,0.1000,0.0350,6.0837,4.0000
19,580,0.0741,0.0259,5.4293,2.8000
20,594,0.1000,0.0350,6.0889,4.0000
21,580,0.0741,0.0259,5.4257,2.8000
22,594,0.1000,0.0350,6.0631,4.0000
23,580,0.0741,0.0259,5.4206,2.8000
24,594,0.1000,0.0350,6.0659,4.0000
25,580,0.0741,0.0259,5.4110,2.8000
26,594,0.1000,0.0350,6.0658,4.0000
27,580,0.0741,0.0259,5.4058,2.8000
28,594,0.1000,0.0350,6.3179,4.0000
29,579,0.0722,0.0253,5.4096,2.8000
30,594,0.1000,0.0350,6.3116,4.0000
31,579,0.0722,0.0253,5.4181,2.8000
32,594,0.1000,0.0350,6.2897,4.0000
33,579,0.0722,0.0253,5.3962,2.8000
34,594,0.1000,0.0350,6.2735,4.0000
35,580,0.0741,0.0259,5.4187,2.8000
36,594,0.1000,0.0350,6.2457,4.0000
37,580,0.0741,0.0259,5.4090,2.8000
38,594,0.1000,0.0350,6.2109,4.0000
39,580,0.0741,0.0259,5.3605,2.8000
40,594,0.1000,0.0350,6.1987,4.0000
41,580,0.0741,0.0259,5.3483,2.8000
42,594,0.1000,0.0350,6.2258,4.0000
43,579,0.0722,0.0253,5.3438,2.8000
44,594,0.1000,0.0350,6.2131,4.0000
45,579,0.0722,0.0253,5.3318,2.8000
46,594,0.1000,0.0350,6.1418,4.0000
47,579,0.0722,0.0253,5.3085,2.8000
48,594,0.1000,0.0350,6.1194,4.0000
49,579,0.0722,0.0253,5.2896,2.8000
50,594,0.1000,0.0350,6.0979,4.0000
51,579,0.0722,0.0253,5.2687,2.8000
52,594,0.1000,0.0350,6.0945,4.0000
53,580,0.0741,0.0259,5.2703,2.8000
54,594,0.1000,0.0350,6.0457,4.0000
55,579,0.0722,0.0253,5.2289,2.8000
56,594,0.1000,0.0350,6.0479,4.0000
57,579,0.0722,0.0253,5.2260,2.8000
58,594,0.1000,0.0350,6.0252,4.0000
59,579,0.0722,0.0253,5.2082,2.8000
60,594,0.1000,0.0350,5.9917,2.8000
61,579,0.0722,0.0253,5.1842,2.8000
62,594,0.1000,0.0350,5.9764,2.8000
63,579,0.0722,0.0253,5.1502,2.8000
64,593,0.0981,0.0344,5.9768,2.8000
65,579,0.0722,0.0253,5.3885,2.8000
66,593,0.0981,0.0344,5.9164,2.8000
67,579,0.0722,0.0253,5.3582,2.8000
68,593,0.0981,0.0344,6.2456,4.0000
69,578,0.0704,0.0246,5.3305,2.8000
70,593,0.0981,0.0344,6.1846,4.0000
71,578,0.0704,0.0246,5.3222,2.8000
72,593,0.0981,0.0344,6.1253,4.0000
73,578,0.0704,0.0246,5.3038,2.8000
