x,y,theta,velocity
18.759326,52.971260,-2.653919,
18.567942,52.918414,-2.823293,
18.383463,52.842080,-2.680212,
18.204684,52.752424,-2.678490,
18.035360,52.647763,-2.389088,
17.880837,52.521046,-2.440176,
17.735848,52.383412,-2.356194,
17.594427,52.241991,-2.356194,
17.453005,52.100569,-2.356194,
17.311584,51.959148,-2.356194,
17.170163,51.817726,-2.356194,
17.028741,51.676305,-2.356194,
16.887623,51.534590,-2.322182,
16.756203,51.383935,-2.250137,
16.621848,51.235902,-2.356194,
16.480427,51.094481,-2.356194,
16.344303,50.948006,-2.304070,
16.210822,50.799069,-2.307793,
16.077772,50.649757,-2.277643,
15.947952,50.497649,-2.327176,
15.807881,50.354915,-2.356194,
15.671251,50.208913,-2.306246,
15.537714,50.060025,-2.299506,
15.405552,49.909920,-2.260438,
15.275377,49.758138,-2.312760,
15.135353,49.615361,-2.355901,
14.994033,49.473838,-2.354965,
14.854365,49.330727,-2.318050,
14.720708,49.181948,-2.299527,
14.585494,49.034593,-2.331152,
14.445386,48.891890,-2.356194,
14.303965,48.750469,-2.356194,
14.162544,48.609047,-2.356194,
14.021122,48.467626,-2.356194,
13.879701,48.326205,-2.356194,
13.738280,48.184783,-2.356194,
13.596858,48.043362,-2.356194,
13.455437,47.901941,-2.356194,
13.314016,47.760519,-2.356194,
13.172594,47.619098,-2.356194,
13.031173,47.477677,-2.356194,
12.889751,47.336255,-2.356194,
12.748330,47.194834,-2.356194,
12.606909,47.053413,-2.356194,
12.465487,46.911991,-2.356194,
12.324066,46.770570,-2.356194,
12.182645,46.629149,-2.356194,
12.041223,46.487727,-2.356194,
11.899802,46.346306,-2.356194,
11.758381,46.204884,-2.356194,
11.616959,46.063463,-2.356194,
11.475538,45.922042,-2.356194,
11.334117,45.780620,-2.356194,
11.192695,45.639199,-2.356194,
11.047165,45.502032,-2.398924,
10.898389,45.368376,-2.408379,
10.752072,45.232086,-2.356194,
10.610651,45.090665,-2.356194,
10.469229,44.949243,-2.356194,
10.327808,44.807822,-2.356194,
10.186387,44.666401,-2.356194,
10.044965,44.524979,-2.356194,
9.903544,44.383558,-2.356194,
9.762123,44.242137,-2.356194,
9.620701,44.100715,-2.356194,
9.479280,43.959294,-2.356194,
9.332107,43.823980,-2.457388,
9.180973,43.693083,-2.394623,
9.038854,43.552378,-2.356194,
8.897433,43.410956,-2.356194,
8.756011,43.269535,-2.356194,
8.614590,43.128114,-2.356194,
8.473168,42.986692,-2.356194,
8.331747,42.845271,-2.356194,
8.186471,42.707835,-2.397346,
8.038074,42.573758,-2.410649,
7.891107,42.438141,-2.356194,
7.749686,42.296720,-2.356194,
7.608265,42.155298,-2.356194,
7.466843,42.013877,-2.356194,
7.325422,41.872456,-2.356194,
7.184001,41.731034,-2.356194,
7.042579,41.589613,-2.356194,
6.900788,41.448566,-2.367591,
6.751629,41.315439,-2.449565,
6.602401,41.182399,-2.378019,
6.460710,41.041254,-2.356194,
6.319288,40.899832,-2.356194,
6.177867,40.758411,-2.356194,
6.036446,40.616990,-2.356194,
5.895024,40.475568,-2.356194,
5.753603,40.334147,-2.356194,
5.612182,40.192725,-2.356194,
5.470760,40.051304,-2.356194,
5.329339,39.909883,-2.356194,
5.187918,39.768461,-2.356194,
5.046496,39.627040,-2.356194,
4.905075,39.485619,-2.356194,
4.763653,39.344197,-2.356194,
4.622232,39.202776,-2.356194,
4.480811,39.061355,-2.356194,
4.339389,38.919933,-2.356194,
4.197968,38.778512,-2.356194,
4.056547,38.637091,-2.356194,
3.915125,38.495669,-2.356194,
3.773704,38.354248,-2.356194,
3.632283,38.212826,-2.356194,
3.500168,38.062779,-2.249712,
3.366813,37.913846,-2.356194,
3.225391,37.772425,-2.356194,
3.083970,37.631004,-2.356194,
2.946262,37.486028,-2.305694,
2.812648,37.337209,-2.314601,
2.677275,37.189988,-2.313798,
2.546330,37.038868,-2.275320,
2.411257,36.891473,-2.345613,
2.269937,36.749951,-2.356194,
2.129885,36.607210,-2.318560,
1.996907,36.457844,-2.282871,
1.867549,36.305318,-2.252465,
1.737810,36.153189,-2.319715,
1.597601,36.010595,-2.356194,
1.458653,35.866802,-2.303357,
1.325344,35.717709,-2.298158,
1.190760,35.569771,-2.304223,
1.061002,35.417640,-2.287090,
0.925064,35.271038,-2.356194,
0.783643,35.129617,-2.356194,
0.645127,34.985414,-2.303317,
0.512291,34.835902,-2.293658,
0.382007,34.684167,-2.270388,
0.251558,34.532636,-2.330088,
0.111213,34.390167,-2.356194,
-0.030208,34.248745,-2.356194,
-0.165138,34.101145,-2.298063,
-0.298671,33.952256,-2.307325,
-0.430935,33.802251,-2.277864,
-0.562156,33.651402,-2.331200,
-0.702755,33.509179,-2.356194,
-0.844176,33.367758,-2.356194,
-0.978625,33.219704,-2.298013,
-1.112180,33.070834,-2.306558,
-1.244035,32.920470,-2.276660,
-1.375721,32.770034,-2.328883,
-1.516716,32.628198,-2.356194,
-1.651807,32.480739,-2.300711,
-1.785032,32.331571,-2.298196,
-1.915644,32.180136,-2.258845,
-2.047912,32.030231,-2.343320,
-2.185526,31.885199,-2.285052,
-2.314274,31.732164,-2.250525,
-2.440726,31.577216,-2.261338,
