x,y,theta,velocity
1.035760,0.863133,-0.694811,
1.074594,0.831638,-0.669921,
1.114142,0.801045,-0.647210,
1.154366,0.771345,-0.625098,
1.195228,0.742531,-0.603577,
1.236692,0.714589,-0.582497,
1.278734,0.687522,-0.561008,
1.321361,0.661388,-0.540301,
1.364486,0.636084,-0.521196,
1.408080,0.611597,-0.502614,
1.452116,0.587914,-0.484539,
1.496567,0.565019,-0.466957,
1.541408,0.542898,-0.449850,
1.586617,0.521536,-0.432914,
1.632182,0.500946,-0.416050,
1.678085,0.481122,-0.399956,
1.724289,0.462009,-0.384694,
1.770776,0.443594,-0.369820,
1.817528,0.425864,-0.355318,
1.864529,0.408806,-0.341172,
1.911764,0.392405,-0.327368,
1.959218,0.376651,-0.313889,
2.006878,0.361529,-0.300722,
2.054731,0.347029,-0.287853,
2.102764,0.333140,-0.275268,
2.150967,0.319849,-0.262953,
2.199328,0.307146,-0.250801,
2.247840,0.295030,-0.238736,
2.296494,0.283498,-0.227020,
2.345276,0.272522,-0.215701,
2.394178,0.262094,-0.204586,
2.443192,0.252206,-0.193665,
2.492310,0.242848,-0.182926,
2.541525,0.234015,-0.172361,
2.590830,0.225697,-0.161957,
2.640218,0.217889,-0.151706,
2.689683,0.210585,-0.141597,
2.739219,0.203777,-0.131621,
2.788820,0.197460,-0.121768,
2.838480,0.191630,-0.112030,
2.888195,0.186281,-0.102397,
2.937958,0.181408,-0.092861,
2.987766,0.177008,-0.083413,
3.037613,0.173076,-0.074045,
3.087494,0.169610,-0.064747,
3.137405,0.166606,-0.055512,
3.187342,0.164061,-0.046332,
3.237300,0.161974,-0.037197,
3.287275,0.160342,-0.028100,
3.337262,0.159164,-0.019033,
3.387259,0.158439,-0.009986,
3.437260,0.158166,-0.000953,
3.487261,0.158344,0.008077,
3.537259,0.158973,0.017111,
3.587249,0.160055,0.026158,
3.637227,0.161589,0.035344,
3.687189,0.163589,0.044662,
3.737130,0.166054,0.053919,
3.787047,0.168978,0.063141,
3.836934,0.172364,0.072427,
3.886787,0.176215,0.081787,
3.936601,0.180534,0.091231,
3.986373,0.185325,0.100770,
4.036096,0.190594,0.110416,
4.085766,0.196345,0.120182,
4.135377,0.202583,0.130081,
