s_m,x_m,y_m,heading_rad,curvature_inv_m,width_m,left_width_m,right_width_m
0.000000000,1.035759962,0.863133302,-0.694811245,0.535336342,1.000000000,0.500000000,0.500000000
0.050000684,1.074594217,0.831637761,-0.669921157,0.460234847,1.000000000,0.500000000,0.500000000
0.100000632,1.114142331,0.801044601,-0.647210017,0.448187545,1.000000000,0.500000000,0.500000000
0.150000340,1.154365850,0.771345454,-0.625098079,0.436273473,1.000000000,0.500000000,0.500000000
0.200000222,1.195227748,0.742530641,-0.603577499,0.424532344,1.000000000,0.500000000,0.500000000
0.250000611,1.236692469,0.714589349,-0.582496802,0.418672469,1.000000000,0.500000000,0.500000000
0.300001618,1.278733513,0.687521815,-0.561007606,0.440866042,1.000000000,0.500000000,0.500000000
0.350002695,1.321361036,0.661387508,-0.540300530,0.387388557,1.000000000,0.500000000,0.500000000
0.400003288,1.364486336,0.636083996,-0.521195673,0.376782926,1.000000000,0.500000000,0.500000000
0.450003661,1.408080471,0.611597496,-0.502613733,0.366476782,1.000000000,0.500000000,0.500000000
0.500004031,1.452115957,0.587913893,-0.484539375,0.356481124,1.000000000,0.500000000,0.500000000
0.550004569,1.496566721,0.565018842,-0.466956811,0.346803934,1.000000000,0.500000000,0.500000000
0.600005408,1.541408067,0.542897867,-0.449849938,0.337450532,1.000000000,0.500000000,0.500000000
0.650006645,1.586616622,0.521536446,-0.432913935,0.339965763,1.000000000,0.500000000,0.500000000
0.700008128,1.632181973,0.500946472,-0.416049840,0.334572104,1.000000000,0.500000000,0.500000000
0.750009552,1.678085334,0.481121642,-0.399955645,0.309171570,1.000000000,0.500000000,0.500000000
0.800010719,1.724289434,0.462008877,-0.384694222,0.301264514,1.000000000,0.500000000,0.500000000
0.850011732,1.770776048,0.443594316,-0.369820308,0.293674019,1.000000000,0.500000000,0.500000000
0.900012673,1.817527975,0.425864355,-0.355318165,0.286395304,1.000000000,0.500000000,0.500000000
0.950013609,1.864528990,0.408805687,-0.341172322,0.279422831,1.000000000,0.500000000,0.500000000
1.000014590,1.911763788,0.392405323,-0.327367604,0.272750463,1.000000000,0.500000000,0.500000000
1.050015653,1.959217931,0.376650622,-0.313889160,0.266371606,1.000000000,0.500000000,0.500000000
1.100016827,2.006877801,0.361529307,-0.300722480,0.260279332,1.000000000,0.500000000,0.500000000
1.150018132,2.054730550,0.347029481,-0.287853408,0.254466488,1.000000000,0.500000000,0.500000000
