x,y,theta,velocity
-11.441514,119.655684,-2.657550,
-11.632230,119.601833,-2.986426,
-11.823478,119.543855,-2.824004,
-12.010219,119.472949,-2.715307,
-12.189735,119.384910,-2.699373,
-12.362368,119.284238,-2.570781,
-12.530857,119.176482,-2.574570,
-12.699023,119.068225,-2.563218,
-12.864815,118.956376,-2.537595,
-13.028733,118.841786,-2.529161,
-13.192782,118.727385,-2.534463,
-13.358000,118.614680,-2.547713,
-13.517630,118.494224,-2.497752,
-13.680170,118.377737,-2.532864,
-13.844835,118.264226,-2.545252,
-14.010231,118.151801,-2.522130,
-14.171212,118.033138,-2.505295,
-14.334863,117.918215,-2.553008,
-14.501500,117.807617,-2.557254,
-14.668315,117.697288,-2.557254,
-14.835866,117.588118,-2.602181,
-15.006560,117.483901,-2.583200,
-15.175356,117.376633,-2.569918,
-15.344674,117.270196,-2.620430,
-15.518457,117.171206,-2.627562,
-15.689821,117.068154,-2.596352,
-15.862114,116.966639,-2.628252,
-16.037504,116.870535,-2.650505,
-16.207860,116.765926,-2.607174,
-16.380901,116.665655,-2.623487,
-16.557150,116.571153,-2.653285,
-16.735429,116.480574,-2.665699,
-16.913951,116.390456,-2.658900,
-17.085132,116.287224,-2.581649,
-17.256265,116.183744,-2.605501,
-17.430989,116.086462,-2.663571,
-17.609076,115.995447,-2.674791,
-17.788135,115.906360,-2.674308,
-17.967195,115.817275,-2.673825,
-18.146255,115.728193,-2.673342,
-18.325315,115.639114,-2.672859,
-18.505616,115.552586,-2.705584,
-18.689660,115.474358,-2.752766,
-18.873309,115.395176,-2.734614,
-19.055637,115.313065,-2.696639,
-19.235852,115.226561,-2.702312,
-19.414785,115.137305,-2.696248,
-19.594983,115.050607,-2.726625,
-19.778318,114.970685,-2.734945,
-19.963528,114.895273,-2.767768,
-20.147501,114.817063,-2.707560,
-20.328005,114.731172,-2.730765,
-20.512556,114.654181,-2.768092,
-20.698294,114.580039,-2.737758,
-20.879821,114.496179,-2.738911,
-21.064098,114.418453,-2.746710,
-21.250081,114.344950,-2.756766,
-21.434387,114.267340,-2.718396,
