x,y,theta,velocity
-7.661150,142.563750,-2.629680,
-7.851424,142.510448,-2.925148,
-8.042252,142.451368,-2.741606,
-8.221509,142.362957,-2.668980,
-8.397483,142.268020,-2.563765,
-8.549007,142.138393,-2.356194,
-8.689054,141.995648,-2.292961,
-8.800466,141.830579,-2.025482,
-8.887333,141.650566,-1.907175,
-8.925316,141.454814,-1.843685,
-8.955553,141.258039,-1.602866,
-8.956150,141.058048,-1.570796,
-8.956150,140.858048,-1.570796,
-8.954462,140.658066,-1.549406,
-8.933505,140.459401,-1.365369,
-8.906962,140.261512,-1.498522,
-8.866225,140.066276,-1.315204,
-8.824306,139.870787,-1.389576,
-8.785974,139.674505,-1.337756,
-8.741002,139.479633,-1.353381,
-8.694456,139.285236,-1.286888,
-8.647125,139.090927,-1.337906,
-8.597442,138.897246,-1.333467,
-8.555079,138.701826,-1.387924,
-8.512641,138.506476,-1.295796,
-8.463337,138.312686,-1.339316,
-8.415276,138.118570,-1.295796,
-8.366986,137.924528,-1.346317,
-8.322526,137.729532,-1.346865,
-8.277100,137.534779,-1.361961,
-8.231326,137.340167,-1.286145,
-8.187922,137.145038,-1.379050,
-8.145570,136.949660,-1.317198,
-8.095416,136.756077,-1.334109,
-8.047473,136.561920,-1.317074,
-7.998259,136.368094,-1.348231,
-7.953516,136.173165,-1.341210,
-7.909815,135.978006,-1.368464,
-7.865708,135.782999,-1.311213,
-7.819733,135.588424,-1.363468,
-7.781525,135.392148,-1.308093,
-7.731092,135.198617,-1.341452,
-7.684852,135.004048,-1.305936,
-7.634934,134.810389,-1.341452,
-7.590044,134.615500,-1.327859,
-7.544721,134.420715,-1.361341,
-7.501367,134.225520,-1.291008,
-7.453565,134.031405,-1.368902,
-7.414414,133.835307,-1.349840,
-7.363516,133.641943,-1.324602,
-7.318834,133.447007,-1.356351,
-7.273927,133.252124,-1.358837,
-7.231312,133.056721,-1.342559,
-7.181370,132.863115,-1.337217,
-7.133690,132.668901,-1.295796,
-7.087508,132.474407,-1.379397,
-7.047892,132.278416,-1.328756,
-6.997827,132.084819,-1.338949,
-6.953210,131.889861,-1.346806,
-6.907784,131.695090,-1.336871,
-6.865786,131.499557,-1.360406,
-6.817458,131.305573,-1.359021,
-6.778667,131.109373,-1.372984,
-6.733698,130.914517,-1.339115,
-6.690331,130.719287,-1.358670,
-6.641300,130.525433,-1.311573,
-6.601830,130.329405,-1.392300,
-6.563277,130.133178,-1.346045,
-6.518943,129.938159,-1.407233,
-6.487807,129.740624,-1.394215,
-6.447385,129.544784,-1.364495,
-6.412662,129.347984,-1.513710,
-6.383713,129.150388,-1.367654,
-6.339691,128.955320,-1.370064,
-6.308207,128.757873,-1.429100,
-6.271218,128.561333,-1.376994,
-6.236423,128.364408,-1.462201,
-6.220667,128.165185,-1.475343,
-6.192674,127.967210,-1.399036,
-6.158500,127.770152,-1.399157,
-6.134531,127.571801,-1.521550,
-6.127838,127.371982,-1.504405,
-6.102957,127.173582,-1.422097,
-6.072090,126.975984,-1.406952,
-6.045954,126.777785,-1.511320,
-6.042400,126.577885,-1.570796,
-6.030641,126.378293,-1.492624,
-6.013884,126.178997,-1.485170,
-6.000804,125.979436,-1.532588,
-5.994883,125.779535,-1.554587,
-5.977768,125.580406,-1.443704,
-5.953838,125.381925,-1.481266,
-5.949900,125.182006,-1.570796,
-5.949900,124.982006,-1.570796,
-5.949900,124.782006,-1.570796,
-5.938413,124.582387,-1.496081,
-5.922488,124.383023,-1.489298,
-5.909303,124.183465,-1.508954,
-5.903650,123.983577,-1.570796,
-5.903650,123.783577,-1.570796,
-5.903650,123.583577,-1.570796,
-5.903650,123.383577,-1.570796,
-5.903650,123.183577,-1.570796,
-5.903650,122.983577,-1.570796,
