x,y,theta,velocity
60.600000,118.700000,-2.877590,
60.520992,118.690053,-3.133392,
60.440993,118.690000,3.141593,
60.360993,118.690000,3.141593,
60.280993,118.690000,3.141593,
60.201129,118.687916,-2.909338,
60.121655,118.679742,-3.081243,
60.041761,118.675681,-3.099279,
59.961824,118.672549,-3.109569,
59.881860,118.670150,-3.114193,
59.801862,118.670000,3.141593,
59.721863,118.669912,-3.102971,
59.642814,118.659507,-3.095483,
59.562892,118.655974,-3.103918,
59.482948,118.652984,-3.106256,
59.402993,118.650307,-3.111803,
59.322998,118.650000,3.141593,
59.243783,118.643115,-2.848462,
59.164053,118.638822,-3.099247,
59.084129,118.635337,-3.095846,
59.004207,118.631802,-3.099247,
58.924241,118.630000,3.141593,
58.845240,118.620000,3.141593,
58.765288,118.617730,-3.094587,
58.685389,118.613728,-3.090359,
58.605469,118.610170,-3.103916,
58.526464,118.600159,-3.094134,
58.446495,118.598736,-3.088774,
58.366618,118.594292,-3.083377,
58.286838,118.588532,-3.041284,
58.207765,118.579265,-3.103066,
58.127860,118.575387,-3.088775,
58.047962,118.571347,-3.093257,
57.968396,118.565639,-2.856486,
57.889008,118.560000,3.141593,
57.809504,118.551994,-3.004779,
57.730032,118.542847,-3.040458,
57.650147,118.540000,3.141593,
57.570276,118.535686,-3.056406,
57.490676,118.527803,-3.024552,
57.411287,118.520000,3.141593,
57.331574,118.514990,-3.006081,
57.252194,118.505072,-3.039180,
57.172425,118.500000,3.141593,
57.093432,118.490388,-3.017243,
57.013612,118.485062,-3.068429,
56.933781,118.479904,-3.086819,
56.854885,118.467838,-3.049722,
56.775096,118.462072,-3.079121,
56.695444,118.456587,-2.901638,
56.616273,118.446894,-3.076751,
56.536490,118.441012,-3.066384,
56.457554,118.430000,3.141593,
56.377862,118.424375,-2.994358,
56.298805,118.412158,-3.004520,
56.219081,118.405788,-3.068429,
56.139357,118.399264,-3.024208,
56.060318,118.390000,3.141593,
55.980811,118.381931,-2.992658,
55.901680,118.370358,-3.089419,
55.822585,118.361634,-2.997248,
55.743021,118.353456,-3.053331,
55.663478,118.344981,-3.022367,
55.584434,118.332698,-2.997728,
55.504761,118.326404,-3.033690,
55.425593,118.315023,-2.970736,
55.346009,118.308935,-3.041169,
55.267201,118.296145,-3.054500,
55.187486,118.289433,-3.045694,
55.108508,118.279430,-3.081375,
55.029717,118.265801,-3.006445,
