x,y,theta,velocity
-12.847973,8.650002,-1.570796,
-12.847973,8.450002,-1.570796,
-12.847973,8.250002,-1.570796,
-12.847973,8.050002,-1.570796,
-12.847973,7.850002,-1.570796,
-12.847973,7.650002,-1.570796,
-12.847973,7.450002,-1.570796,
-12.774838,7.300176,-0.021327,
-12.574840,7.300002,0.000000,
-12.375034,7.307824,0.057793,
-12.175370,7.319395,0.052198,
-11.975514,7.324274,-0.053085,
-11.874998,7.196098,-1.570796,
-11.874998,6.996098,-1.570796,
-11.874998,6.796098,-1.570796,
-11.874998,6.596098,-1.570796,
-11.983380,6.475553,-3.041551,
-12.182992,6.463295,-3.087732,
-12.382715,6.452775,-3.094646,
-12.582654,6.450002,3.141593,
-12.782654,6.450002,3.141593,
-12.872973,6.327864,-1.570796,
-12.872973,6.127864,-1.570796,
-12.872973,5.927864,-1.570796,
-12.872973,5.727864,-1.570796,
-12.872973,5.527864,-1.570796,
-12.872973,5.327864,-1.570796,
-12.872973,5.127864,-1.570796,
-12.715812,5.100002,0.000000,
-12.515812,5.100002,0.000000,
-12.315850,5.101927,0.039807,
-12.116047,5.110781,0.045753,
-11.916243,5.119620,0.041422,
-11.716342,5.125002,0.000000,
-11.516342,5.125002,0.000000,
-11.316342,5.125002,0.000000,
-11.116342,5.125002,0.000000,
-10.916342,5.125002,0.000000,
-10.716342,5.125002,0.000000,
-10.516342,5.125002,0.000000,
-10.316342,5.125002,0.000000,
-10.116342,5.125002,0.000000,
-9.916342,5.125002,0.000000,
-9.716342,5.125002,0.000000,
-9.516342,5.125002,0.000000,
-9.316342,5.125002,0.000000,
-9.116342,5.125002,0.000000,
-8.916342,5.125002,0.000000,
-8.716342,5.125002,0.000000,
-8.516342,5.125002,0.000000,
-8.316342,5.125002,0.000000,
-8.116342,5.125002,0.000000,
-7.916342,5.125002,0.000000,
-7.716342,5.125002,0.000000,
-7.516342,5.125002,0.000000,
-7.316342,5.125002,0.000000,
-7.116342,5.125002,0.000000,
-6.916342,5.125002,0.000000,
-6.716342,5.125002,0.000000,
-6.516342,5.125002,0.000000,
-6.316342,5.125002,0.000000,
-6.116342,5.125002,0.000000,
-5.916342,5.125002,0.000000,
-5.716342,5.125002,0.000000,
-5.516342,5.125002,0.000000,
-5.316342,5.125002,0.000000,
-5.116342,5.125002,0.000000,
-4.916342,5.125002,0.000000,
-4.716342,5.125002,0.000000,
-4.516342,5.125002,0.000000,
-4.316342,5.125002,0.000000,
-4.116342,5.125002,0.000000,
-3.916342,5.125002,0.000000,
-3.716342,5.125002,0.000000,
-3.516342,5.125002,0.000000,
-3.316342,5.125002,0.000000,
-3.116342,5.125002,0.000000,
-2.916342,5.125002,0.000000,
-2.716342,5.125002,0.000000,
-2.516342,5.125002,0.000000,
-2.316342,5.125002,0.000000,
-2.116342,5.125002,0.000000,
-1.916342,5.125002,0.000000,
-1.716342,5.125002,0.000000,
-1.516342,5.125002,0.000000,
-1.316342,5.125002,0.000000,
-1.116342,5.125002,0.000000,
-0.916342,5.125002,0.000000,
-0.716342,5.125002,0.000000,
-0.516342,5.125002,0.000000,
-0.316342,5.125002,0.000000,
-0.116342,5.125002,0.000000,
0.083658,5.125002,0.000000,
0.283658,5.125002,0.000000,
0.483658,5.125002,0.000000,
0.683658,5.125002,0.000000,
0.883658,5.125002,0.000000,
1.083658,5.125002,0.000000,
1.283658,5.125002,0.000000,
1.483658,5.125002,0.000000,
1.683658,5.125002,0.000000,
1.854853,5.043207,-0.677196,
2.010719,4.917885,-0.677196,
2.166586,4.792563,-0.677196,
2.321709,4.666332,-0.693895,
2.475461,4.538425,-0.693895,
2.629213,4.410517,-0.693895,
2.782966,4.282610,-0.693895,
2.936718,4.154703,-0.693895,
3.090470,4.026796,-0.693895,
3.244222,3.898888,-0.693895,
3.397257,3.770125,-0.700221,
3.550197,3.641247,-0.700221,
3.703137,3.512370,-0.700221,
3.856077,3.383493,-0.700221,
4.009017,3.254615,-0.700221,
4.161957,3.125738,-0.700221,
4.314897,2.996860,-0.700221,
4.467837,2.867983,-0.700221,
4.620777,2.739106,-0.700221,
4.773775,2.610298,-0.698404,
4.926949,2.481699,-0.698404,
5.080123,2.353100,-0.698404,
5.233297,2.224501,-0.698404,
5.386471,2.095901,-0.698404,
5.539645,1.967302,-0.698404,
5.692819,1.838703,-0.698404,
5.846746,1.711007,-0.691213,
6.000840,1.583513,-0.691213,
6.154935,1.456019,-0.691213,
6.335338,1.401591,0.000000,
6.535338,1.401591,0.000000,
6.735338,1.401591,0.000000,
6.935338,1.401591,0.000000,
7.135338,1.401591,0.000000,
7.335338,1.401591,0.000000,
7.535338,1.401591,0.000000,
7.735338,1.401591,0.000000,
7.935338,1.401591,0.000000,
8.135338,1.401591,0.000000,
8.335338,1.401591,0.000000,
8.535338,1.401591,0.000000,
8.735338,1.401591,0.000000,
8.935338,1.401591,0.000000,
9.135338,1.401591,0.000000,
9.335338,1.401591,0.000000,
9.535338,1.401591,0.000000,
9.699997,1.448827,1.565821,
9.700002,1.648827,1.570796,
9.700002,1.848827,1.570796,
9.700002,2.048827,1.570796,
9.700002,2.248827,1.570796,
9.700002,2.448827,1.570796,
9.700002,2.648827,1.570796,
9.700002,2.848827,1.570796,
9.700002,3.048827,1.570796,
9.700002,3.248827,1.570796,
9.700002,3.448827,1.570796,
9.700002,3.648827,1.570796,
9.700002,3.848827,1.570796,
9.700002,4.048827,1.570796,
9.700002,4.248827,1.570796,
9.700002,4.448827,1.570796,
9.700002,4.648827,1.570796,
9.700002,4.848827,1.570796,
9.700002,5.048827,1.570796,
9.700002,5.248827,1.570796,
9.700002,5.448827,1.570796,
9.700002,5.648827,1.570796,
9.700002,5.848827,1.570796,
9.700002,6.048827,1.570796,
9.610632,6.180905,2.668022,
9.575002,6.369853,1.570796,
9.575002,6.569853,1.570796,
9.575002,6.769853,1.570796,
9.575002,6.969853,1.570796,
9.650059,7.125002,0.000000,
9.725002,7.266321,1.570796,
9.725002,7.466321,1.570796,
9.725002,7.666321,1.570796,
9.663724,7.845548,2.336109,
9.521711,7.986309,2.379161,
9.376868,8.124223,2.390053,
9.230741,8.260776,2.390053,
9.084407,8.397100,2.425590,
8.933520,8.528375,2.425590,
8.777132,8.652843,2.498239,
8.584516,8.675002,3.141593,
8.384516,8.675002,3.141593,
8.184516,8.675002,3.141593,
7.984516,8.675002,3.141593,
7.784516,8.675002,3.141593,
7.584516,8.675002,3.141593,
7.384516,8.675002,3.141593,
7.184516,8.675002,3.141593,
6.984516,8.675002,3.141593,
6.784516,8.675002,3.141593,
6.584516,8.675002,3.141593,
6.384516,8.675002,3.141593,
6.184516,8.675002,3.141593,
5.984516,8.675002,3.141593,
5.784516,8.675002,3.141593,
5.584516,8.675002,3.141593,
5.384516,8.675002,3.141593,
5.184516,8.675002,3.141593,
4.984516,8.675002,3.141593,
4.784516,8.675002,3.141593,
4.584516,8.675002,3.141593,
4.384516,8.675002,3.141593,
4.184516,8.675002,3.141593,
3.984516,8.675002,3.141593,
3.784516,8.675002,3.141593,
3.584516,8.675002,3.141593,
3.384516,8.675002,3.141593,
3.184516,8.675002,3.141593,
2.984516,8.675002,3.141593,
2.784516,8.675002,3.141593,
2.584516,8.675002,3.141593,
2.384516,8.675002,3.141593,
2.184516,8.675002,3.141593,
1.984516,8.675002,3.141593,
1.784516,8.675002,3.141593,
1.584516,8.675002,3.141593,
1.384516,8.675002,3.141593,
1.184516,8.675002,3.141593,
0.984516,8.675002,3.141593,
0.784516,8.675002,3.141593,
0.584516,8.675002,3.141593,
0.384516,8.675002,3.141593,
0.184516,8.675002,3.141593,
-0.015484,8.675002,3.141593,
-0.215484,8.675002,3.141593,
-0.415484,8.675002,3.141593,
-0.615484,8.675002,3.141593,
-0.815484,8.675002,3.141593,
-1.015484,8.675002,3.141593,
-1.215484,8.675002,3.141593,
-1.415484,8.675002,3.141593,
-1.615484,8.675002,3.141593,
-1.815484,8.675002,3.141593,
-2.015484,8.675002,3.141593,
-2.215484,8.675002,3.141593,
-2.415484,8.675002,3.141593,
-2.615484,8.675002,3.141593,
-2.815484,8.675002,3.141593,
-3.015484,8.675002,3.141593,
-3.215484,8.675002,3.141593,
-3.415484,8.675002,3.141593,
-3.615484,8.675002,3.141593,
-3.815484,8.675002,3.141593,
-4.015484,8.675002,3.141593,
-4.215484,8.675002,3.141593,
-4.415484,8.675002,3.141593,
-4.615484,8.675002,3.141593,
-4.815484,8.675002,3.141593,
-5.015484,8.675002,3.141593,
-5.215484,8.675002,3.141593,
-5.415484,8.675002,3.141593,
-5.615484,8.675002,3.141593,
-5.815484,8.675002,3.141593,
-6.015484,8.675002,3.141593,
-6.215484,8.675002,3.141593,
-6.415484,8.675002,3.141593,
-6.615484,8.675002,3.141593,
-6.815484,8.675002,3.141593,
-7.015484,8.675002,3.141593,
-7.215484,8.675002,3.141593,
-7.415484,8.675002,3.141593,
-7.615484,8.675002,3.141593,
-7.815484,8.675002,3.141593,
-8.015484,8.675002,3.141593,
-8.215484,8.675002,3.141593,
-8.415484,8.675002,3.141593,
-8.615484,8.675002,3.141593,
-8.815484,8.675002,3.141593,
-9.015484,8.675002,3.141593,
-9.215484,8.675002,3.141593,
-9.415484,8.675002,3.141593,
-9.615484,8.675002,3.141593,
-9.815484,8.675002,3.141593,
-10.015484,8.675002,3.141593,
-10.215484,8.675002,3.141593,
-10.415484,8.675002,3.141593,
-10.615484,8.675002,3.141593,
-10.815484,8.675002,3.141593,
-11.015484,8.675002,3.141593,
-11.215484,8.675002,3.141593,
-11.415484,8.675002,3.141593,
-11.615484,8.675002,3.141593,
-11.815484,8.675002,3.141593,
